---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                 Song Plays (YouTube) -- Generated 2020-06-16 20:36 UTC
---------------------------------------------------------------------------------------------------------------------------------------------------------


YouTube Key  Song Code     Perf Code     Song Name                                           Performer Name                                              
YJ9W47TIRR4  kewpie-doll   p-como        Kewpie Doll                                         Perry Como                                                  
fnqC2I9QpIU  kismet        elvis         Kismet                                              Elvis Presley                                               
gVxwN3Eaf_U  kiss-fire     louis-arm     Kiss of Fire                                        Louis Armstrong                                             
DxComjngP2Q  l-cowboy      elvis         Lonesome Cowboy                                     Elvis Presley                                               
eCQrdpoBass  mexico        elvis         Mexico                                              Elvis Presley                                               
GVMaaTaucsQ  mine          elvis         Mine                                                Elvis Presley                                               
A9C-oQ_mFSc  n-orleans     elvis         New Orleans                                         Elvis Presley                                               
9J-hyQGmhlo  n-for-xmas    b-gordon      Nuttin' for Christmas                               Barry Gordon                                                
VTjUZlLdmu8  n-for-xmas    sugarland     Nuttin' for Christmas                               Sugarland                                                   
vxhe3_dTaBM  once-enough   elvis         Once is Enough                                      Elvis Presley                                               
wuzbUsy6snc  petunia       elvis         Petunia, the Gardener's Daughter                    Elvis Presley                                               
RjWoFTu0W28  puppet        elvis         Puppet on a String                                  Elvis Presley                                               
hu5qvkiQVjE  red-roses     sinatra       Red Roses for a Blue Lady                           Frank Sinatra                                               
8-kRyR9c0uc  red-roses     moscow-jazz   Red Roses for a Blue Lady                           Moscow City Jazz Band                                       
HssRO5b_ED0  red-roses     w-newton      Red Roses for a Blue Lady                           Wayne Newton                                                
DDH5xsR2b6g  relax         elvis         Relax                                               Elvis Presley                                               
0JCXmuNnrNc  santa-daddy   b-gordon      Santa Claus Looks Just Like Daddy                   Barry Gordon                                                
z617AUVXyMs  ssss-heart    ink-spots     Say Something Sweet to Your Sweetheart              The Ink Spots                                               
ADjm8yzYFW4  shop-arnd     elvis         Shoppin' Around                                     Elvis Presley                                               
ri3oqaZqAjo  sl-sand       elvis         Slicin' Sand                                        Elvis Presley                                               
PzGLzYnSNes  smorgasbord   elvis         Smorgasbord                                         Elvis Presley                                               
f4MXVgw_3hg  soft-love     della-reese   Softly My Love                                      Della Reese                                                 
_GEKrj_ZloI  shrimp        elvis         Song of the Shrimp                                  Elvis Presley                                               
wr6MQtFLX6k  stay-away     elvis         Stay Away                                           Elvis Presley                                               
1gGJ8AHYloQ  smr-sounds    r-goulet      Summer Sounds                                       Robert Goulet                                               
UiFXZhU5kp4  suzy-snow     r-clooney     Suzy Snowflake                                      Rosemary Clooney                                            
DaOGCwGkdCE  take-me-fair  elvis         Take Me to the Fair                                 Elvis Presley                                               
7xVk2GY-TOI  tear-rain     a-prysock     Teardrops in the Rain                               Arthur Prysock                                              
kHTX0kU3sEo  bullfighter   elvis         The Bullfighter Was a Lady                          Elvis Presley                                               
Fv0bpfGfzls  lady-loves    ann-margret   The Lady Loves Me                                   Ann-Margret                                                 
S2PFb24d2Ak  train-ahchoo  anne-lloyd    The Little Train Who Said 'Ah Choo                  Anne Lloyd, Sandpiper Singers, Mitch Miller & Orchestra     
9HxB7lxbTnI  nty-lady      ames-bros     The Naughty Lady of Shady Lane                      The Ames Brothers                                           
4dGrDNvSdNM  walls-ears    elvis         The Walls Have Ears                                 Elvis Presley                                               
06BlIlEjhV8  woodchuck     ben-mill      The Woodchuck Song                                  Tex Beneke and The Miller Orchestra                         
BxNohANhJiA  yng-ones      clf-rich      The Young Ones                                      Cliff Richards                                              
stDqoS3zeTE  tr-light      h-hermits     Travelling Light                                    Herman's Hermits                                            
K0ozZZ_RhP8  t-t-fingers   stargazers    Twenty Tiny Fingers                                 The Stargazers                                              
K0ozZZ_RhP8  t-t-fingers   stargazers    Twenty Tiny Fingers                                 The Stargazers                                              
iRZcg4nXprY  vino          elvis         Vino, Dinero y Amor                                 Elvis Presley                                               
-cs_R-QWqcA  west-union    elvis         Western Union                                       Elvis Presley                                               
zxn5EWXpUOE  wheels-heels  elvis         Wheels on My Heels                                  Elvis Presley                                               
FudzowDyQn0  when-arms     c-francis     When the Boy (Girl) in Your Arms                    Connie Francis                                              
eoRVnPH8uUI  ww-young      andy-wms      Wonderful World of the Young                        Andy Williams                                               


